"sha256","duplicate_count","original_path","file_size"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\start-monorepo\packages\ui\src\hooks\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\start-monorepo\packages\ui\src\lib\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\vite-monorepo\.npmrc","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\vite-monorepo\apps\web\src\components\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\vite-monorepo\packages\ui\src\components\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\vite-monorepo\packages\ui\src\hooks\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","43","addintional info to add\ui-main\templates\vite-monorepo\packages\ui\src\lib\.gitkeep","0"
"792D778BFF00EC5B73076D4A17DA1F6EC9FB10AEFC2E290604054E5AF3E03C7C","2","addintional info to add\02 - What is Cyber Security Introduction to Cyber Security Cyber Security Training Ed.txt","23253"
"792D778BFF00EC5B73076D4A17DA1F6EC9FB10AEFC2E290604054E5AF3E03C7C","2","addintional info to add\dasdasdas ffds\02 - What is Cyber Security Introduction to Cyber Security Cyber Security Training Ed.txt","23253"
"633CBD91D512558737A5DCEB00729B26990357317923679945B7655A6FD303CF","2","addintional info to add\03 - CyberSecurity Certifications CyberSecurity Career CyberSecurity Certification Tr.txt","19055"
"633CBD91D512558737A5DCEB00729B26990357317923679945B7655A6FD303CF","2","addintional info to add\dasdasdas ffds\03 - CyberSecurity Certifications CyberSecurity Career CyberSecurity Certification Tr.txt","19055"
"F0006FBAE9440220441F2F4937573B345C3E099E58F18F74B85184F306C2E08C","2","addintional info to add\04 - Cybersecurity Frameworks NIST Cybersecurity Framework Cybersecurity Certificatio.txt","22686"
